"id","title","rating","date","author","jobTitle","industry","companySize","reviewSource","timeUsed","switchingReasons","chosenReasons","incentivized","comments","pros","cons","response","supportRating","easeRating","funcRating","valueRating","recommendRating","reviewUrl","productUrl"
"7036476","Decent but Dated - Does the Job","4","October 30, 2025","Rabindra K.","Network Security Administrator","Computer & Network Security","51-200 employees","Capterra","1-2 years","","","NoIncentive","It's a functional helpdesk tool that handles the basics well, but it feels outdated compared to competitors.","The ticket management system is solid and straightforward. It's easy to create, assign, and track support tickets without getting lost in complicated menus. The interface is clean and Support response time has been decent when issues come up, and the customization options let us tweak workflows to match our process.","The mobile app is buggy and sometimes loses connection. Performance slows down when we have high ticket volumes.","","4","4","4","4","9","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___7036476","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6630832","A Powerful Helpdesk Software For Growing Business ","5","December 19, 2024","Simona M.","Digital Marketer","Telecommunications","51-200 employees","Capterra","1-2 years","Vision Helpdesk is amazing as not only a help-desk but also makes handling customer service easy.","","NominalGift","","I like that offering support to our customers is easy with Vision Helpdesk.
I like the plenty of customization options.
The solution is easy to deploy and use.","Vision Helpdesk has been awesome. No dislikes.","","4","5","4","4","9","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6630832","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6881414","Best customer support desk ","3","August 24, 2025","Verified Reviewer","Vehicle integration engineer","Automotive","11-50 employees","Capterra","Less than 6 months","","","NoIncentive","My overall rating is very good for customer support and value for money. I refer my colleagues to use this software","Best service request process for customer.
Easy to report the issues
The resolution process is fast.","Lack of staff and server issues 
More maintenance break 
Anyway it has less disadvantage and recommended","","4","5","4","4","5","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6881414","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"4647430","Outstanding Customer Support with Vision Helpdesk","5","March 9, 2023","Boyang S.","Junior Data Integration Developer","Information Technology and Services","51-200 employees","Capterra","2+ years","Vision Helpdesk offers a wide range of features that are superior to its alternatives. It has a great customer service team that is always available to answer questions and provide assistance. The software is easy to use and provides a great user experience. It also offers advanced features such as automated ticketing and self-service portals. These features make it an excellent choice for customer service software.","","NoIncentive","I have been using Vision Helpdesk for a few months now and I am very pleased with it. The customer service team is always available and willing to help. The software is easy to use and provides a great user experience. The cost is a bit expensive but it is worth it for the excellent customer service you get in return.","Vision Helpdesk is an amazing customer support software. It is easy to use and provides a great user experience. The customer service team is very knowledgeable and helpful. They are always willing to answer any questions or help troubleshoot any problems. They are also very prompt in responding to customer inquiries.","The only downside to Vision Helpdesk is the cost. It can be quite expensive for a customer service software. However, it is worth it for the excellent customer service you get in return.","","4","4","5","4","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___4647430","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6814534","Vision Helpdesk is the best!","5","May 20, 2025","Isaac A.","CEO","Human Resources","11-50 employees","Capterra","6-12 months","","","NominalGift","Vision help desk has been great! At our office we use it daily for customer support and feedback. Caring for our customers is our number 1 priority, and vision help desk makes that easy!","Vision help desk has been great for my office to use! Its customer service features and gamification have been wonderful and easy to work on a daily basis.","The only thing I didn’t like about Vision helpdesk, was that some of my employees had a hard time catching on. It was a learning curve for them, however once they caught on it was very easy to use!","","5","4","5","5","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6814534","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6856604","I love vision helpdesk","5","July 15, 2025","Connor D.","Service desk analyst","Telecommunications","11-50 employees","Capterra","Less than 6 months","","","NominalGift","","Vision helpdesk is the easiest out of all the helpdesks to use. It has many functions and has really helped me and my business","I found that for some software I use I could link them and the customer support on this matter was poor","","3","5","4","3","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6856604","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6682451","A Comprehensive Guide to Vision Helpdesk: Pros, Cons, and Overall Experience","4","February 7, 2025","LEONARDO P.","Management Accountant","Hospitality","51-200 employees","Capterra","6-12 months","","","NominalGift","Overall, Vision Helpdesk appears to be a powerful and flexible tool, with some areas for improvement. It seems to be well-regarded for its multi-channel support and customization options, but potential users should be prepared for an initial learning curve and consider the costs involved.","Multi-channel Support: Vision Helpdesk can handle all sorts of customer interactions from various channels—email, chat, phone, social media—all in one place. That’s pretty handy to keep everything organized.","Cost: Depending on the features you need, Vision Helpdesk can get a bit pricey, especially for small businesses or startups.","","4","5","5","4","9","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6682451","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6637530","Very user friendly","4","December 26, 2024","Raj S.","President","Computer & Network Security","51-200 employees","Capterra","6-12 months","","","NominalGift","Value for money with a lot of features and easy to implement","1. Enables very high level of customer engagement and ownership.
2, Very user friendly and is easy on your pocket
3. Has a lot of features and user friendly.","1. The Forums page is very complex and is not easy to use.
2. Not very compatible with all the social media platforms","","4","5","4","4","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6637530","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"480915","Best software for managing the various internet based customer interaction channels ","4","May 25, 2018","Dennis M.","Technical Support Analyst","","","Capterra","1-2 years","","","NominalGift","Talking to customers using Facebook, Twitter and other platforms is faster ","Price friendly where its is easy to afford and install 
Offers the comfort of managing all the communication with customers using the social media channels in one stop ","The product needs more time before it becomes operational in your devices. Other than that I have nothing terrible to say in regards to this product","","4","4","4","5","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___480915","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"5922","Excellent Help Desk software with wonderful features.","5","October 10, 2014","Gitesh T.","Technical Lead","Information Technology and Services","11-50 employees","GetApp","","","","NoIncentive","We used most of all opensource free help desks like osticket, trellis desk, hesk, etc. There are certain limitations of opensource ticketing system and those are not secure. Due to these reasons, we switched to Vision HelpDesk. It is excellent experience because Vision Helpdesk product is having nice features like SLA supported, providing good reports, unlimited agents, multi-site supported, profession looks, customization available, cost effective, constant updates. We got wonderful support from their support team and our every issue is being resolved very quickly. What else is required? I found Vision Help Desk is really excellent product comparatively with other competitors. ","SLA supported, good reporting, unlimited agents, customization help, very nice support, constant update with stable release, cost effective, mobile application, etc","Till today I didn't find out any.","","0","0","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___5922","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6808878","mon avis à propos du logiciel Vision Helpdesk","4","May 13, 2025","el mestapha E.","développement de programmes","Program Development","Self-employed","Capterra","6-12 months","","","NoIncentive","","Fonctionne parfaitement avec une belle police. Facile à utiliser. Un bon logiciel à un prix abordable.
 Vision Helpdesk gère toutes sortes d'interactions client depuis différents canaux (e-mail, chat, téléphone, réseaux sociaux) depuis un seul et même endroit. C'est très pratique pour tout organiser.","Vision Helpdesk est prévenant et collectif, rendant la communication simple.
La page Forums est très complexe et peu conviviale.","","4","4","4","3","9","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6808878","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"130717","Great product and would recommend","4","June 27, 2016","Hafifah P.","ICT Technician","Education Management","501-1,000 employees","Capterra","Less than 6 months","","","NoIncentive","You can customize it to fit your individual and company needs. You can add your company logo and change colour. There is an array of features and the user interface is very user-friendly. Although we needed to set up it on ubuntu (but you don't have to) it has proved very easy to set up and get working. Customer service is very quick to respond as well.","What I like about Vision Helpdesk is that it is organized and easy to manage. It is also very user-friendly and we had really good responses from our clients.","The guides on how to accomplish certain things can be hard to find. For instance when I first started to customize it there wasn't very much information available but customer service were always quick to reply to enquiries.","","5","4","4","5","9","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___130717","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"106574","Effective, Easy - just great!","4","December 29, 2015","Valentin S.","CEO","","","Capterra","","","","NoIncentive","Suprag Solutions AG is an integrator of IT-, Telefony-, Video- and VoiceRecording-Solutions. 
With the ticketsystem of Visionhelpdesk, we are administering all Helpdesk- and Project-Tickets, including time-trackings. 
The Team of Visionhelpdesk has even developped features for us, which enable us, to easily bill all tracked time by a simple, but transparent report. 
Before choosing Visionhelpdesk, we have seen lots of tools. The decision to take this solution has been made within just 1 day of evaluation and we are still very happy - especially because of the great teamwork with the Visionhelpdesk Team.","","","","5","4","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___106574","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"226375","Vision Helpdesk","5","April 10, 2017","Kyle B.","CEO","Entertainment","Self-employed","Capterra","Less than 6 months","","","VendorReferred","Vision helpdesk is a  great customer support software, it allows for many integrations such as twitter and SMS. The software is also great because it allows you to see how your staff are performing ","I like that you can monitor your staffs progress","I don't like that the forums page is difficult to use","","5","4","5","5","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___226375","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"95799","Vision Help desk is  the best Help desk Software we have used in past 13 years...","5","September 2, 2015","Max F.","Manager","","","Capterra","","","","NoIncentive","We have been in hosting industry since 2003 and help desk is a major part of our business.. we have previously used different help desk from free to paid from OSticket to Kayako.. but by far looking at features, price and performance Vision Helpdesk has just made our life much easier. Blabby feature has help staff knowledge sharing. Using Vision helpdesk since 2010 and it has improve alot all this year.. good product highly recommended for customer support software requirement.","","","","5","5","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___95799","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"118965","Great software! ","5","March 31, 2016","Aleks B.","","","","Capterra","","","","NoIncentive","Thank you Vision Helpdesk team for the great product and outstanding customer support experience! ","","","","5","5","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___118965","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6695816","Best product ever!","5","February 18, 2025","Darius S.","CEO","Construction","11-50 employees","Capterra","1-2 years","","","NominalGift","My overall experience I would rate it as a 10 when rating 1-10. I enjoy it well.","This product is a really good and easy solution.","There are no dislikes about this service.","","5","5","5","5","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6695816","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6667891","Great customer service ","4","January 25, 2025","Brittany M.","Owner","Alternative Dispute Resolution","Self-employed","Capterra","Less than 6 months","","","NominalGift","","Vision Helpdesk is an amazing customer support software. It is easy to use and provides a great user experience. The customer service team is very knowledgeable and helpful.","What I liked least about Vision Helpdesk is its potential high cost..","","3","4","4","4","2","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6667891","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6677079","Wonderfully live agent","5","February 3, 2025","Madeline O.","Owner","Photography","Self-employed","Capterra","I used a free trial","","","NominalGift","Wonderful, didn’t have to sit on the phone for airing for over an hour. It was so fast.","Off company website when I went to check on my account status","It was like speaking to a live agent. They were fast and so informative.","","5","5","5","5","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6677079","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6751858","Great product. ","5","March 22, 2025","Alexis M.","CEO","Accounting","1-10 employees","Capterra","I used a free trial","","","NominalGift","","Compatible with everything about my company","There isn’t one thing I can pin point that I do not like.","","5","5","5","0","7","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6751858","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6685603","useful yet satisfying ","5","February 10, 2025","Deanna C.","Leasing Agent","Real Estate","1-10 employees","Capterra","Less than 6 months","","","NoIncentive","I would give it a 7 of 10 , features need to be more updated","Helped during the patient intake process","Can be better updated for the price that's paid","","5","5","5","5","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6685603","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"6288595","Imperative Solution for Ideal Customer Help","5","May 6, 2024","Gestione P.","Marketing Director","Maritime","51-200 employees","Capterra","1-2 years","","","NoIncentive","","Vision Helpdesk has determined approach in creating solid and immediate communication, where customers are well heard. ","Vision Helpdesk is apprehensive and collective, making communication straightforward. ","","5","5","5","5","9","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___6288595","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"3749932","Vision helpdesk is simple but  effective customer support tool for my business","5","August 11, 2022","Abhishek B.","Director","Information Technology and Services","11-50 employees","GetApp","2+ years","","Cost and customization options were my major concern.","NoIncentive","I am pretty happy with vision helpdesk features, and live chat integration. I have tried a few customer support tools previously but they were not feature rich and the cost was pretty high. Presently very happy with overall service I get from vision helpdesk support staff as well.","Customer support handling via outlook was a real pain when I decided to switch to Vision helpdesk. Now things are well organized. I can quickly and effectively offer customer assistance.","Nothing for now :). I am very happy with the tool so nothing much I can complain about vision helpdesk.","","5","5","5","5","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___3749932","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"3524614","Vision HelpDesk Customer Support tools is super fast and simple to use","5","May 18, 2022","Daniel N.","Owner","Information Technology and Services","11-50 employees","GetApp","2+ years","Heavy software, with limited feature at higher cost.","Vision helpdesk had Download version, Satellite helpdesk feature and most important costing and customization which was quit possible with Vision helpdesk and not the others.","NoIncentive","WebhostingUK.com has been using Vision Helpdesk for over 10 years now, we have found this tool really helpfull and one of the best  help desk software that offers you download as well as SAAS version. Multi-company satellite helpdesk feature than helps us support our reseller hosting customers...and now they have also introduced LiveChat which has made support process fast and effective.","Vision helpdesk helps use to handle customer support tickets as well as live chat it one single portal which makes life  easy for staff to create tickets or switch to chat, its fast and effective solution for staff as well as the customer.","Nothing quit serious to worry about. Using it for more than 10 years now.","","5","5","5","5","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___3524614","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"3535569","Awesome service desk software with Live chat","5","May 24, 2022","Manish P.","Administrator","Chemicals","201-500 employees","SoftwareAdvice","2+ years","","","NoIncentive","Awesome experience with Vision Helpdesk and support from the team is also very quick and good.","ITIL features are much user friendly and easy to use. Linking of problems , Assets with Incidents is very easy and productive. Easy to integrate with our Active Directory server.","Some flexibility with dashboard and admin reports.","","5","5","5","5","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#SoftwareAdvice___3535569","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"3768285","User friendly Helpdesk software and live chat","5","August 19, 2022","Kaustubh Y.","Helpdesk Admin","Education Management","1-10 employees","GetApp","6-12 months","","","NoIncentive","Overall its awesome software with lots of features and user friendly GUI. Support staff is also very helpful in case of any questions while using the tool","Very useful software for our organization. It has lots of customization and automation which are helpful for us to manage multiple issues received and also priority chat option for quick support to users.","Not found any negative things in vision help desk till now. Enhancement in some features like knowledge-base and downloads will be more helpful for us.","","5","5","5","5","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___3768285","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"2635302","Vision Helpdesk Trial","5","January 20, 2021","Patrick M.","IT Consultant","Environmental Services","51-200 employees","Capterra","6-12 months","","Simplicity and met our needs.","VendorReferredIncentivized","I am able to have a single point of contact with the users beyond just an email addresses. It formalises the need for a system and addresses audit queries concerning how users interact with IT.","I like this software for the following reason:
1. The linkage with Google Suite that we use works seamless. 
2. The web-based functionality helps to us the software from anywhere especially during the COVID-19 period.
3. The ability for users to log the calls via email or the system if they have the link via the web.
4. The Knowledge based. ","So far I don't have anything I didn't as the basic needs of any Helpdesk tool are met.","","5","5","5","0","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___2635302","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"1726868","Vision Help Desk Review","5","August 30, 2019","Ryan R.","IT Help Desk Analyst","Museums and Institutions","201-500 employees","Capterra","I used a free trial","","","NoIncentive","Overall our experience has been good so far. The Vision Helpdesk support team was very helpful in getting us set up and answering all of our questions. ","Massive amount of features. Much more affordable than competitors. Lots of connectors. The support has been excellent so far.","The mobile app needs a lot of work. On Android, it loads but the app cannot be interacted with. On iOS, after you log in​, it crashes if you tap on anything. Sadly it is unusable. We plan to work with support to see if we can get it working for us but until then, the web browser works fine.","","5","4","5","4","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___1726868","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"18661","Vision Helpdesk is Best Satellite Multi-Domain Helpdesk! ","5","January 21, 2010","Todd R.","Admin","","","Capterra","","","","NoIncentive","Overall We Highly Recommend Vision Helpdesk!! ","They have advance feature - Satellite Helpdesk that allows us to manage support for multiple companies from one place with single database and multiple client portals. Also each company client portal can be designed as per respective company website.

Best part of Satellite Helpdesk is we can have different signatures for each department also the from email is different for each department. 

They offer best WHMCS Billing Integration and Paid Ticket Support - We can bill our customers from Vision.

They offer Anti-Spam Feature which is huge plus.

Vision Helpdesk Ajax Interface is best user interface as it save large bandwidth and it makes user interface real faster.

Another thing that was important for us was Ticket Migration tool as we have migrated from Kayako we wanted to have our old tickets in Vision. 

Best part is Vision Staff and Admin access url is same - they have nice Staff Access Control system.
","Till date they don't offer Live Chat software. We are using LiveZilla untill Vision helpdesk launch their Live Chat Software.","","5","5","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___18661","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"3163369","Vision tool helps to achieve your management goals","4","October 22, 2021","Issrrael I.","Advisor ","Consumer Services","201-500 employees","Capterra","6-12 months","","","NoIncentive","It was helpful to arrange, plan, execute and validate my helpdesk tasks.","Easy to use, easy integration with other platforms","Sometimes the system stability can failed ","","0","4","5","0","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___3163369","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"286206","VHD tool & team has been instrumental for one of our significant client business.","5","September 19, 2017","Ganesh A.","Global Delivery Lead - Customer Support","","","Capterra","6-12 months","","","NoIncentive","","Easy Navigation however UI can be improved.
simplified set up.
supportive team.
cost friendly
reporting customization should be improved.","some features are add on's should be easily removable as per requirement.
documentation on overview and API's can be strong.
Add more support staff to cater to increasing client list.
","","5","4","5","5","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___286206","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"222904","Easy Setup, Intuitive GUI","4","March 31, 2017","Michael C.","","Health, Wellness and Fitness","","Capterra","Less than 6 months","","","VendorReferred","Following the how-to video from Vision, the setup process of the ServiceDesk was smooth and straight-forward. 

The GUI is clean and intuitive.  The dashboard provides an informative snapshot on ticket, tasks and items related to ITIL.  The visualization of ticket activity on the Home page makes tracking responses easy.

The template style to configure Workflow, Micro and Alerts shortens the time to add new functionalities, this helps.  The SLA feature is a plus on keeping users on track to meet expectations.  

The ServiceDesk is well-rounded and feature-rich product, with many possibilities to integrate with other service providers. ","Easy Setup, Clean and Intuitive GUI.  Good features.  ","I was not able to locate a quick-start guide, but it will help on the initial configuration.  ","","5","4","4","4","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___222904","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"129780","Good system - easy in use","5","June 18, 2016","Mike M.","","Non-Profit Organization Management","11-50 employees","Capterra","Less than 6 months","","","NoIncentive","The experience of the Helpdesk is very good. We use this system to help young people, children most, with their problem about bullying in the Netherlands. The company we have is an foundation about bullying and we provide support by email, Facebook, Twitter, and Livechat. So the system of Vision Helpdesk is very compatible with all these platforms. Also LiveZilla, we use for LiveChat, is integrated. ","The most I like of these software is the possibility to include all the systems we use. So there is one platform to use for all our customer support abilities. Very useful!","The installation of the software needs much time. But the Vision Helpdesk will provide you with all the support they've got. So thats useful. ","","5","4","5","5","9","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___129780","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"106565","","4","October 11, 2017","Gustavo S.","","","","GetApp","","","","NoIncentive","","","","","0","0","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___106565","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"155235","Pretty good app for managing tickets","3","July 10, 2018","Daniel Alejandro M.","","","","GetApp","Less than 6 months","","","NoIncentive","","This Vision Helpdesk was something I tried first when heard about the free trial, what a great plus. I thinks it's very cheap and you can get that value in return with some nice features. I'm always able to access and update tickets. 

Works fine with a good looking font. Easy-to-normal to use. Good software for a good price.","Well I didn't liked at all the User Interface as I think it needs a face lift. Sometimes when trying to set a category, subcategory or item, the app crashes back to Inbox.","","4","3","3","3","6","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___155235","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"37281","My Look On Vision Help Desk","4","April 25, 2016","kyle B.","","","","GetApp","I used a free trial","","","NoIncentive","Vision Help Desk (VHD) is a great piece of software which allows you to connect with your customers easily. I used VHD for a few days now and I am loving it, the reason I have been using it is because I have been looking for a system where our users can connect with us without hassle and VHD offers that!","- Easy to use
- Clean interface
- Everything you need is at the tip of your fingers!
- I love how they send you an email when someone submits a ticket!","- I had a few issues while installing but support team solved that pretty quickly. 

Other than that I have nothing bad to say about this software!","","5","4","0","5","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___37281","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"2568","Best Helpdesk with affordable prices","5","February 8, 2013","RShosting","","","","GetApp","","","","NoIncentive","Vision helpdesk have now become our personal favorite when it comes to choosing an online helpdesk software to manage support for your customers. We were a former Kayako customer, who have now opted for Vision helpdesk for their extra-ordinary features which are available at affordable costs.

Vision helpdesk is truely multi-domain, multi-company helpdesk, allowing you to manage n number of companies with n number of staff conveniently and also preserving the privacy of each company when replying a customer query.

We have found them to be the best helpdesk so far and recommend Vision helpdesk highly for people who are seeking online web based customer support helpdesk. ","","","","0","0","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___2568","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"5642","Affordable Helpdesk Solution with all the fruit of the big players,","5","August 26, 2014","Ryan D.","","Automotive","","GetApp","","","","NoIncentive","After piloting over 8 of the most reputable help desk providers we settled with Vision.
They provide all the functionality of the larger Help Desk providers at an affordable cost.
Their company based (""satellite"") pricing structure for SaaS makes them far more competitive than any other Help Desk solution on the market using a staff based pricing structure.","Fully featured
Affordable
Great client support.","","","0","0","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___5642","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"3853","Their chat support team is great","5","November 22, 2013","patrickjs","","","","GetApp","","","","NoIncentive","They respond quickly with their chat support. Issues are also usually fixed during the chat. Vicky J and Sonam Shah are tech rockstars!","Chat support is great! They respond quickly with their chat support. Issues are also usually fixed during the chat. Vicky J and Sonam Shah are tech rockstars!
Pricing is also good (It's not per agent/monthly) - great for small teams on budget.","Email support team is a little slow to respond. I guess it's the queue but at least you can easily contact them via skype or online chat.","","0","0","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___3853","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"93777","Easy Setup,Great product","5","August 9, 2017","Rohit J.","Sr. Analyst","Information Technology and Services","10,001+ employees","GetApp","I used a free trial","","","NominalGift","","software is the possibility to include all the systems we use

Easy to use - Clean interface ,Support team - features - prices.

software is a multi-channel solution that uses digital tickets to centralize customer conversations that occur through email, a web portal, social media channels, telephone, and live chats","The installation of the software needs much time.Other than that I have nothing bad to say about this software","","4","5","5","4","8","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___93777","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"116248","Awesome Software and Support","5","March 15, 2016","Budhaditya M.","Manager","","","Capterra","","","","NoIncentive","Simplicity, Design, Features is what sets Vison Helpdesk apart !
Support has been excellent and we are very happy to be associated with them all these years. Kudos to the team Vision Helpdesk. Any issue or question is answered almost immediately. Easy to manage all support from one place. The support staff at Vision Helpdesk are excellent, they allow you to add them on Skype and literally guide through step. I am looking forward and wish the team good luck. Vision Helpdesk is a great product!","","","","5","5","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___116248","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"117066","Vision Helpdesk  A breath of fresh air! ","5","March 18, 2016","Jong P.","","","","Capterra","","","","NoIncentive","The solution offered by Vision helpdesk definitely meet the requirements of the institution. Upon testing the product, we honestly think that the modern and technical design is great and also very flexible.  
Pros:
	Intuitive ticket and problem linking
	Flexible staff and admin role setup
	Granular user permissions
	Excellent data-rich reporting tool
	Awesome automation and workflow
	Robust and dynamic team and department designation
	Feature-rich
	Great customer service support
Cons: As of now, NONE","","","","5","4","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___117066","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"73685","","3","April 20, 2017","Boete koffi P.","","","","GetApp","Less than 6 months","","","NoIncentive","","","","","2","3","4","3","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___73685","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"19023","Best Help Desk","5","October 24, 2015","Pavel B.","Head of Technical Support","Internet","51-200 employees","GetApp","I used a free trial","","","NoIncentive","Vision Helpdesk is great product! The SLA management is fantastic and lets you build nested levels of support to ensure we know only meet our SLA’s.  Vision  Helpdesk is the best product on the market helpdesk system. ","Thank you for supporting Open-Sourve projects
Very convenient localization system","Problems in the work is not found","","5","5","0","4","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___19023","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"130587","Non-Profit Friendly","5","June 24, 2016","Patricia M.","IT Coordinator","Non-Profit Organization Management","51-200 employees","Capterra","Less than 6 months","","","NoIncentive","Greatly appreciate the free non-profit version.  We are a social services agency and the software helps keep us on track so we can serve our clients.","","","","5","5","5","5","10","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___130587","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"2532","Best Help Desk - Vision Helpdesk Software","5","February 2, 2013","Max","","","","GetApp","","","","NoIncentive","We highly recommend Vision Help Desk Software!

Vision Helpdesk is value for money, feature rich and simple to use. 

Also their support team is very responsive and always ready to help.","","","","0","0","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#GetApp___2532","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"117439","Vision helpdesk has a significant role in making us a Brand","5","March 21, 2016","Gaurav M.","MD & CEO","","","Capterra","","","","NoIncentive","Pros
- Support team
- features
- prices
- ease of use

Cons
- documentation can be improved","","","","5","5","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___117439","https://www.capterra.com/p/102230/Vision-Helpdesk/"
"119323","Support for Vision Helpdesk","5","April 2, 2016","Mauricio J.","N/A","","","Capterra","","","","NoIncentive","Great customer support.

I really recommend vision helpdesk.
","","","","5","3","0","0","0","https://www.capterra.com/p/102230/Vision-Helpdesk/#Capterra___119323","https://www.capterra.com/p/102230/Vision-Helpdesk/"
